"Market","Outcome","Date_Char","Back","Lay"
"Clacton - Winner","Green","07/01/2015 17:14:36",5.4,NA
"Clacton - Winner","Labour","06/01/2015 17:15:48",5.4,NA
"Clacton - Winner","Labour","06/01/2015 17:20:09",5.4,NA
"Clacton - Winner","Labour","07/01/2015 17:14:36",5.4,NA
"Clacton - Winner","Liberal Democrat","06/01/2015 17:15:48",5.4,NA
"Clacton - Winner","Liberal Democrat","06/01/2015 17:20:09",5.4,NA
"Clacton - Winner","Liberal Democrat","07/01/2015 17:14:36",5.4,NA
"Clacton - Winner","UKIP","06/01/2015 17:15:48",1.05,1.45
"Clacton - Winner","UKIP","06/01/2015 17:20:09",1.05,1.45
"Clacton - Winner","UKIP","07/01/2015 17:14:36",1.05,1.45
"East Dunbartonshire - Winner","Conservative","06/01/2015 17:15:49",10,NA
"East Dunbartonshire - Winner","Conservative","06/01/2015 17:20:09",10,NA
"East Dunbartonshire - Winner","Conservative","07/01/2015 17:14:36",10,NA
"East Dunbartonshire - Winner","Labour","06/01/2015 17:15:49",1.55,6.4
"East Dunbartonshire - Winner","Labour","06/01/2015 17:20:09",1.55,6.4
"East Dunbartonshire - Winner","Labour","07/01/2015 17:14:36",1.55,6.4
"East Dunbartonshire - Winner","Liberal Democrat","06/01/2015 17:15:49",2.94,NA
"East Dunbartonshire - Winner","Liberal Democrat","06/01/2015 17:20:09",2.94,NA
"East Dunbartonshire - Winner","Liberal Democrat","07/01/2015 17:14:36",2.94,NA
"East Dunbartonshire - Winner","SNP","06/01/2015 17:15:49",2,3.95
"East Dunbartonshire - Winner","SNP","06/01/2015 17:20:09",2,3.95
"East Dunbartonshire - Winner","SNP","07/01/2015 17:14:36",2,3.95
"East Dunbartonshire - Winner","UKIP","06/01/2015 17:15:49",10,NA
"East Dunbartonshire - Winner","UKIP","06/01/2015 17:20:09",10,NA
"East Dunbartonshire - Winner","UKIP","07/01/2015 17:14:36",10,NA
"Eastbourne - Winner","Conservative","06/01/2015 17:15:49",1.75,6.8
"Eastbourne - Winner","Conservative","06/01/2015 17:20:09",1.75,6.8
"Eastbourne - Winner","Conservative","07/01/2015 17:14:37",2.22,6.8
"Eastbourne - Winner","Green","06/01/2015 17:15:49",4.5,NA
"Eastbourne - Winner","Green","06/01/2015 17:20:09",4.5,NA
"Eastbourne - Winner","Green","07/01/2015 17:14:37",4.5,NA
"Eastbourne - Winner","Labour","06/01/2015 17:15:49",4.5,NA
"Eastbourne - Winner","Labour","06/01/2015 17:20:09",4.5,NA
"Eastbourne - Winner","Labour","07/01/2015 17:14:37",4.5,NA
"Eastbourne - Winner","Liberal Democrat","06/01/2015 17:15:49",1.05,4.5
"Eastbourne - Winner","Liberal Democrat","06/01/2015 17:20:09",1.05,4.5
"Eastbourne - Winner","Liberal Democrat","07/01/2015 17:14:37",1.02,1.92
"Eastbourne - Winner","UKIP","06/01/2015 17:15:49",4.5,NA
"Eastbourne - Winner","UKIP","06/01/2015 17:20:09",4.5,NA
"Eastbourne - Winner","UKIP","07/01/2015 17:14:37",4.5,NA
"Eastleigh - Winner","Conservative","06/01/2015 17:15:49",2.02,20
"Eastleigh - Winner","Conservative","06/01/2015 17:20:10",2.02,20
"Eastleigh - Winner","Conservative","07/01/2015 17:14:37",2.02,20
"Eastleigh - Winner","Labour","06/01/2015 17:15:49",3.85,NA
"Eastleigh - Winner","Labour","06/01/2015 17:20:10",3.85,NA
"Eastleigh - Winner","Labour","07/01/2015 17:14:37",3.85,NA
"Eastleigh - Winner","Liberal Democrat","06/01/2015 17:15:49",1.15,2
"Eastleigh - Winner","Liberal Democrat","06/01/2015 17:20:10",1.15,2
"Eastleigh - Winner","Liberal Democrat","07/01/2015 17:14:37",1.15,2
"Eastleigh - Winner","UKIP","06/01/2015 17:15:49",2.02,10
"Eastleigh - Winner","UKIP","06/01/2015 17:20:10",2.02,10
"Eastleigh - Winner","UKIP","07/01/2015 17:14:37",2.02,10
"England - Most Seats England","Any Other","06/01/2015 17:16:03",4.9,NA
"England - Most Seats England","Any Other","06/01/2015 17:20:24",4.9,NA
"England - Most Seats England","Any Other","07/01/2015 17:14:51",4.9,NA
"England - Most Seats England","Conservative","06/01/2015 17:16:03",1.44,1.9
"England - Most Seats England","Conservative","06/01/2015 17:20:24",1.44,1.9
"England - Most Seats England","Conservative","07/01/2015 17:14:51",1.44,1.9
"England - Most Seats England","Labour","06/01/2015 17:16:03",2.12,3.85
"England - Most Seats England","Labour","06/01/2015 17:20:24",2.12,3.85
"England - Most Seats England","Labour","07/01/2015 17:14:51",2.12,3.85
"England - Most Seats England","Liberal Democrat","06/01/2015 17:16:03",4.9,NA
"England - Most Seats England","Liberal Democrat","06/01/2015 17:20:24",4.9,NA
"England - Most Seats England","Liberal Democrat","07/01/2015 17:14:51",4.9,NA
"England - Most Seats England","UKIP","06/01/2015 17:16:03",11,NA
"England - Most Seats England","UKIP","06/01/2015 17:20:24",11,NA
"England - Most Seats England","UKIP","07/01/2015 17:14:51",11,NA
"Falkirk - Winner","Conservative","06/01/2015 17:15:50",2.5,NA
"Falkirk - Winner","Conservative","06/01/2015 17:20:10",2.5,NA
"Falkirk - Winner","Conservative","07/01/2015 17:14:38",2.5,NA
"Falkirk - Winner","Labour","06/01/2015 17:15:50",2.12,5.8
"Falkirk - Winner","Labour","06/01/2015 17:20:10",2.12,5.8
"Falkirk - Winner","Labour","07/01/2015 17:14:38",2.12,5.8
"Falkirk - Winner","Liberal Democrat","06/01/2015 17:15:50",2.5,NA
"Falkirk - Winner","Liberal Democrat","06/01/2015 17:20:10",2.5,NA
"Falkirk - Winner","Liberal Democrat","07/01/2015 17:14:38",2.5,NA
"Falkirk - Winner","SNP","06/01/2015 17:15:50",1.18,1.66
"Falkirk - Winner","SNP","06/01/2015 17:20:10",1.18,1.66
"Falkirk - Winner","SNP","07/01/2015 17:14:38",1.18,1.65
"Falkirk - Winner","UKIP","06/01/2015 17:15:50",2.5,NA
"Falkirk - Winner","UKIP","06/01/2015 17:20:10",2.5,NA
"Falkirk - Winner","UKIP","07/01/2015 17:14:38",2.5,NA
"Forest of Dean - Winner","Conservative","06/01/2015 17:15:50",NA,1.68
"Forest of Dean - Winner","Conservative","06/01/2015 17:20:11",NA,1.68
"Forest of Dean - Winner","Conservative","07/01/2015 17:14:38",NA,1.68
"Forest of Dean - Winner","Green","06/01/2015 17:15:50",5.5,NA
"Forest of Dean - Winner","Green","06/01/2015 17:20:11",5.5,NA
"Forest of Dean - Winner","Green","07/01/2015 17:14:38",5.5,NA
"Forest of Dean - Winner","Labour","06/01/2015 17:15:50",4.5,NA
"Forest of Dean - Winner","Labour","06/01/2015 17:20:11",4.5,NA
"Forest of Dean - Winner","Labour","07/01/2015 17:14:38",4.5,NA
"Forest of Dean - Winner","Liberal Democrat","06/01/2015 17:15:50",4.5,NA
"Forest of Dean - Winner","Liberal Democrat","06/01/2015 17:20:11",4.5,NA
"Forest of Dean - Winner","Liberal Democrat","07/01/2015 17:14:38",4.5,NA
"Forest of Dean - Winner","UKIP","06/01/2015 17:15:50",2.54,NA
"Forest of Dean - Winner","UKIP","06/01/2015 17:20:11",2.54,NA
"Forest of Dean - Winner","UKIP","07/01/2015 17:14:38",2.54,NA
"Glasgow Central - Winner","Conservative","06/01/2015 17:15:50",4.5,NA
"Glasgow Central - Winner","Conservative","06/01/2015 17:20:11",4.5,NA
"Glasgow Central - Winner","Conservative","07/01/2015 17:14:39",4.5,NA
"Glasgow Central - Winner","Labour","06/01/2015 17:15:50",1.15,2.38
"Glasgow Central - Winner","Labour","06/01/2015 17:20:11",1.15,2.38
"Glasgow Central - Winner","Labour","07/01/2015 17:14:39",1.15,2.38
"Glasgow Central - Winner","Liberal Democrat","06/01/2015 17:15:50",4.5,NA
"Glasgow Central - Winner","Liberal Democrat","06/01/2015 17:20:11",4.5,NA
"Glasgow Central - Winner","Liberal Democrat","07/01/2015 17:14:39",4.5,NA
"Glasgow Central - Winner","SNP","06/01/2015 17:15:50",1.55,2.98
"Glasgow Central - Winner","SNP","06/01/2015 17:20:11",1.55,2.98
"Glasgow Central - Winner","SNP","07/01/2015 17:14:39",1.55,2.98
"Glasgow Central - Winner","UKIP","06/01/2015 17:15:50",4.5,NA
"Glasgow Central - Winner","UKIP","06/01/2015 17:20:11",4.5,NA
"Glasgow Central - Winner","UKIP","07/01/2015 17:14:39",4.5,NA
"Gordon - Winner","Conservative","06/01/2015 17:15:51",4.5,NA
"Gordon - Winner","Conservative","06/01/2015 17:20:11",4.5,NA
"Gordon - Winner","Conservative","07/01/2015 17:14:39",4.5,NA
"Gordon - Winner","Labour","06/01/2015 17:15:51",4.5,NA
"Gordon - Winner","Labour","06/01/2015 17:20:11",4.5,NA
"Gordon - Winner","Labour","07/01/2015 17:14:39",4.5,NA
"Gordon - Winner","Liberal Democrat","06/01/2015 17:15:51",4.2,12.5
"Gordon - Winner","Liberal Democrat","06/01/2015 17:20:11",4.2,12.5
"Gordon - Winner","Liberal Democrat","07/01/2015 17:14:39",4.2,12.5
"Gordon - Winner","SNP","06/01/2015 17:15:51",1.02,1.25
"Gordon - Winner","SNP","06/01/2015 17:20:11",1.02,1.25
"Gordon - Winner","SNP","07/01/2015 17:14:39",1.02,1.25
"Gordon - Winner","UKIP","06/01/2015 17:15:51",4.5,NA
"Gordon - Winner","UKIP","06/01/2015 17:20:11",4.5,NA
"Gordon - Winner","UKIP","07/01/2015 17:14:39",4.5,NA
"Great Grimsby - Winner","Conservative","06/01/2015 17:15:51",4.5,NA
"Great Grimsby - Winner","Conservative","06/01/2015 17:20:12",4.5,NA
"Great Grimsby - Winner","Conservative","07/01/2015 17:14:39",4.5,NA
"Great Grimsby - Winner","Labour","06/01/2015 17:15:51",1.15,2.72
"Great Grimsby - Winner","Labour","06/01/2015 17:20:12",1.15,2.72
"Great Grimsby - Winner","Labour","07/01/2015 17:14:39",1.15,2.72
"Great Grimsby - Winner","Liberal Democrat","06/01/2015 17:15:51",4.5,NA
"Great Grimsby - Winner","Liberal Democrat","06/01/2015 17:20:12",4.5,NA
"Great Grimsby - Winner","Liberal Democrat","07/01/2015 17:14:39",4.5,NA
"Great Grimsby - Winner","UKIP","06/01/2015 17:15:51",2.06,3.45
"Great Grimsby - Winner","UKIP","06/01/2015 17:20:12",2.06,3.45
"Great Grimsby - Winner","UKIP","07/01/2015 17:14:39",2.06,3.45
"Great Yarmouth - Winner","Conservative","06/01/2015 17:15:52",1.65,8.2
"Great Yarmouth - Winner","Conservative","06/01/2015 17:20:12",1.65,8.2
"Great Yarmouth - Winner","Conservative","07/01/2015 17:14:40",1.65,3.85
"Great Yarmouth - Winner","Green","06/01/2015 17:15:52",4.5,NA
"Great Yarmouth - Winner","Green","06/01/2015 17:20:12",4.5,NA
"Great Yarmouth - Winner","Green","07/01/2015 17:14:40",4.5,NA
"Great Yarmouth - Winner","Labour","06/01/2015 17:15:52",2.02,9.6
"Great Yarmouth - Winner","Labour","06/01/2015 17:20:12",2.02,9.6
"Great Yarmouth - Winner","Labour","07/01/2015 17:14:40",2.22,9
"Great Yarmouth - Winner","Liberal Democrat","06/01/2015 17:15:52",4.5,NA
"Great Yarmouth - Winner","Liberal Democrat","06/01/2015 17:20:12",4.5,NA
"Great Yarmouth - Winner","Liberal Democrat","07/01/2015 17:14:40",4.5,NA
"Great Yarmouth - Winner","UKIP","06/01/2015 17:15:52",1.57,7.4
"Great Yarmouth - Winner","UKIP","06/01/2015 17:20:12",1.57,7.4
"Great Yarmouth - Winner","UKIP","07/01/2015 17:14:40",1.57,7.4
"Halifax - Winner","Conservative","06/01/2015 17:15:52",2.02,9.2
"Halifax - Winner","Conservative","06/01/2015 17:20:13",2.02,9.2
"Halifax - Winner","Conservative","07/01/2015 17:14:40",2.22,9.2
"Halifax - Winner","Labour","06/01/2015 17:15:52",1.1,2.5
"Halifax - Winner","Labour","06/01/2015 17:20:13",1.1,2.5
"Halifax - Winner","Labour","07/01/2015 17:14:40",1.1,1.92
"Halifax - Winner","Liberal Democrat","06/01/2015 17:15:52",4.5,NA
"Halifax - Winner","Liberal Democrat","06/01/2015 17:20:13",4.5,NA
"Halifax - Winner","Liberal Democrat","07/01/2015 17:14:40",4.5,NA
"Halifax - Winner","UKIP","06/01/2015 17:15:52",4.5,NA
"Halifax - Winner","UKIP","06/01/2015 17:20:13",4.5,NA
"Halifax - Winner","UKIP","07/01/2015 17:14:40",4.5,NA
"Hampstead and Kilburn - Winner","Conservative","06/01/2015 17:15:53",2.22,25
"Hampstead and Kilburn - Winner","Conservative","06/01/2015 17:20:13",2.22,25
"Hampstead and Kilburn - Winner","Conservative","07/01/2015 17:14:41",2.64,25
"Hampstead and Kilburn - Winner","Green","06/01/2015 17:15:53",4.5,NA
"Hampstead and Kilburn - Winner","Green","06/01/2015 17:20:13",4.5,NA
"Hampstead and Kilburn - Winner","Green","07/01/2015 17:14:41",4.5,NA
"Hampstead and Kilburn - Winner","Labour","06/01/2015 17:15:53",1.27,1.89
"Hampstead and Kilburn - Winner","Labour","06/01/2015 17:20:13",1.27,1.89
"Hampstead and Kilburn - Winner","Labour","07/01/2015 17:14:41",1.28,1.66
"Hampstead and Kilburn - Winner","Liberal Democrat","06/01/2015 17:15:53",4.5,NA
"Hampstead and Kilburn - Winner","Liberal Democrat","06/01/2015 17:20:13",4.5,NA
"Hampstead and Kilburn - Winner","Liberal Democrat","07/01/2015 17:14:41",4.5,NA
"Hampstead and Kilburn - Winner","UKIP","06/01/2015 17:15:53",4.5,NA
"Hampstead and Kilburn - Winner","UKIP","06/01/2015 17:20:13",4.5,NA
"Hampstead and Kilburn - Winner","UKIP","07/01/2015 17:14:41",4.5,NA
"Hendon - Winner","Conservative","06/01/2015 17:15:53",2.54,9.8
"Hendon - Winner","Conservative","06/01/2015 17:20:13",2.54,9.8
"Hendon - Winner","Conservative","07/01/2015 17:14:41",3.5,9.8
"Hendon - Winner","Green","06/01/2015 17:15:53",4.5,NA
"Hendon - Winner","Green","06/01/2015 17:20:13",4.5,NA
"Hendon - Winner","Green","07/01/2015 17:14:41",4.5,NA
"Hendon - Winner","Labour","06/01/2015 17:15:53",1.15,1.33
"Hendon - Winner","Labour","06/01/2015 17:20:13",1.15,1.33
"Hendon - Winner","Labour","07/01/2015 17:14:41",1.1,1.33
"Hendon - Winner","Liberal Democrat","06/01/2015 17:15:53",4.5,NA
"Hendon - Winner","Liberal Democrat","06/01/2015 17:20:13",4.5,NA
"Hendon - Winner","Liberal Democrat","07/01/2015 17:14:41",4.5,NA
"Hendon - Winner","UKIP","06/01/2015 17:15:53",4.5,NA
"Hendon - Winner","UKIP","06/01/2015 17:20:13",4.5,NA
"Hendon - Winner","UKIP","07/01/2015 17:14:41",4.5,NA
"Heywood and Middleton - Winner","Conservative","06/01/2015 17:15:53",4.5,NA
"Heywood and Middleton - Winner","Conservative","06/01/2015 17:20:14",4.5,NA
"Heywood and Middleton - Winner","Conservative","07/01/2015 17:14:41",4.5,NA
"Heywood and Middleton - Winner","Green","06/01/2015 17:15:53",4.5,NA
"Heywood and Middleton - Winner","Green","06/01/2015 17:20:14",4.5,NA
"Heywood and Middleton - Winner","Green","07/01/2015 17:14:41",4.5,NA
"Heywood and Middleton - Winner","Labour","06/01/2015 17:15:53",1.01,1.88
"Heywood and Middleton - Winner","Labour","06/01/2015 17:20:14",1.01,1.88
"Heywood and Middleton - Winner","Labour","07/01/2015 17:14:41",1.01,1.88
"Heywood and Middleton - Winner","Liberal Democrat","06/01/2015 17:15:53",4.5,NA
"Heywood and Middleton - Winner","Liberal Democrat","06/01/2015 17:20:14",4.5,NA
"Heywood and Middleton - Winner","Liberal Democrat","07/01/2015 17:14:41",4.5,NA
"Heywood and Middleton - Winner","UKIP","06/01/2015 17:15:53",3.5,NA
"Heywood and Middleton - Winner","UKIP","06/01/2015 17:20:14",3.5,NA
"Heywood and Middleton - Winner","UKIP","07/01/2015 17:14:41",3.5,NA
"Leader Exit Dates - David Cameron","Apr - Jun 2015","06/01/2015 17:16:46",2.08,15
"Leader Exit Dates - David Cameron","Apr - Jun 2015","06/01/2015 17:20:34",2.08,15
"Leader Exit Dates - David Cameron","Apr - Jun 2015","07/01/2015 17:15:02",2.08,15
"Leader Exit Dates - David Cameron","Jan - Mar 2015","06/01/2015 17:16:46",4.3,55
"Leader Exit Dates - David Cameron","Jan - Mar 2015","06/01/2015 17:20:34",4.3,55
"Leader Exit Dates - David Cameron","Jan - Mar 2015","07/01/2015 17:15:02",4.3,55
"Leader Exit Dates - David Cameron","July 2015 or Later","06/01/2015 17:16:46",1.3,1.99
"Leader Exit Dates - David Cameron","July 2015 or Later","06/01/2015 17:20:34",1.3,1.99
"Leader Exit Dates - David Cameron","July 2015 or Later","07/01/2015 17:15:02",1.3,1.99
"Leader Exit Dates - Ed Miliband","Apr - Jun 2015","06/01/2015 17:16:47",3,7
"Leader Exit Dates - Ed Miliband","Apr - Jun 2015","06/01/2015 17:20:35",3,7
"Leader Exit Dates - Ed Miliband","Apr - Jun 2015","07/01/2015 17:15:02",3,7
"Leader Exit Dates - Ed Miliband","Jan - Mar 2015","06/01/2015 17:16:47",25,100
"Leader Exit Dates - Ed Miliband","Jan - Mar 2015","06/01/2015 17:20:35",25,100
"Leader Exit Dates - Ed Miliband","Jan - Mar 2015","07/01/2015 17:15:02",26,100
"Leader Exit Dates - Ed Miliband","July 2015 or Later","06/01/2015 17:16:47",1.26,1.71
"Leader Exit Dates - Ed Miliband","July 2015 or Later","06/01/2015 17:20:35",1.26,1.71
"Leader Exit Dates - Ed Miliband","July 2015 or Later","07/01/2015 17:15:02",1.26,1.71
"Leader Exit Dates - Nick Clegg","Apr - Jun 2015","06/01/2015 17:16:48",1.9,3.85
"Leader Exit Dates - Nick Clegg","Apr - Jun 2015","06/01/2015 17:20:35",1.9,3.85
"Leader Exit Dates - Nick Clegg","Apr - Jun 2015","07/01/2015 17:15:03",1.9,3.85
"Leader Exit Dates - Nick Clegg","Jan - Mar 2015","06/01/2015 17:16:48",7.6,23
"Leader Exit Dates - Nick Clegg","Jan - Mar 2015","06/01/2015 17:20:35",7.6,23
"Leader Exit Dates - Nick Clegg","Jan - Mar 2015","07/01/2015 17:15:03",7.6,23
"Leader Exit Dates - Nick Clegg","July 2015 or Later","06/01/2015 17:16:48",1.65,2.38
"Leader Exit Dates - Nick Clegg","July 2015 or Later","06/01/2015 17:20:35",1.65,2.38
"Leader Exit Dates - Nick Clegg","July 2015 or Later","07/01/2015 17:15:03",1.65,2.38
"London Mayoral Election 2016 - Winner","Alan Johnson","06/01/2015 17:16:48",8.4,1000
"London Mayoral Election 2016 - Winner","Alan Johnson","06/01/2015 17:20:36",8.4,1000
"London Mayoral Election 2016 - Winner","Alan Johnson","07/01/2015 17:15:04",8.4,1000
"London Mayoral Election 2016 - Winner","Alan Sugar","06/01/2015 17:16:48",4.2,1000
"London Mayoral Election 2016 - Winner","Alan Sugar","06/01/2015 17:20:36",4.2,1000
"London Mayoral Election 2016 - Winner","Alan Sugar","07/01/2015 17:15:04",4.2,1000
"London Mayoral Election 2016 - Winner","Andrew Adonis","06/01/2015 17:16:48",4.1,1000
"London Mayoral Election 2016 - Winner","Andrew Adonis","06/01/2015 17:20:36",4.1,1000
"London Mayoral Election 2016 - Winner","Andrew Adonis","07/01/2015 17:15:04",4.1,1000
"London Mayoral Election 2016 - Winner","Boris Johnson","06/01/2015 17:16:48",9.6,55
"London Mayoral Election 2016 - Winner","Boris Johnson","06/01/2015 17:20:36",9.6,55
"London Mayoral Election 2016 - Winner","Boris Johnson","07/01/2015 17:15:04",9.6,55
"London Mayoral Election 2016 - Winner","Christian Wolmar","06/01/2015 17:16:48",70,1000
"London Mayoral Election 2016 - Winner","Christian Wolmar","06/01/2015 17:20:36",70,1000
"London Mayoral Election 2016 - Winner","Christian Wolmar","07/01/2015 17:15:04",32,1000
"London Mayoral Election 2016 - Winner","Chuka Umunna","06/01/2015 17:16:48",1.09,1000
"London Mayoral Election 2016 - Winner","Chuka Umunna","06/01/2015 17:20:36",1.09,1000
"London Mayoral Election 2016 - Winner","Chuka Umunna","07/01/2015 17:15:04",1.09,1000
"London Mayoral Election 2016 - Winner","David Lammy","06/01/2015 17:16:48",6,12
"London Mayoral Election 2016 - Winner","David Lammy","06/01/2015 17:20:36",6,12
"London Mayoral Election 2016 - Winner","David Lammy","07/01/2015 17:15:04",6,12
"London Mayoral Election 2016 - Winner","Diane Abbott","06/01/2015 17:16:48",12,1000
"London Mayoral Election 2016 - Winner","Diane Abbott","06/01/2015 17:20:36",12,1000
"London Mayoral Election 2016 - Winner","Diane Abbott","07/01/2015 17:15:04",12,1000
"London Mayoral Election 2016 - Winner","Ed Vaizey","06/01/2015 17:16:48",3.65,1000
"London Mayoral Election 2016 - Winner","Ed Vaizey","06/01/2015 17:20:36",3.65,1000
"London Mayoral Election 2016 - Winner","Ed Vaizey","07/01/2015 17:15:04",3.65,1000
"London Mayoral Election 2016 - Winner","Eddie Izzard","06/01/2015 17:16:48",18.5,1000
"London Mayoral Election 2016 - Winner","Eddie Izzard","06/01/2015 17:20:36",18.5,1000
"London Mayoral Election 2016 - Winner","Eddie Izzard","07/01/2015 17:15:04",18.5,1000
"London Mayoral Election 2016 - Winner","George Galloway","06/01/2015 17:16:48",15,100
"London Mayoral Election 2016 - Winner","George Galloway","06/01/2015 17:20:36",15,100
"London Mayoral Election 2016 - Winner","George Galloway","07/01/2015 17:15:04",15,100
"London Mayoral Election 2016 - Winner","Harriet Harman","06/01/2015 17:16:48",44,1000
"London Mayoral Election 2016 - Winner","Harriet Harman","06/01/2015 17:20:36",44,1000
"London Mayoral Election 2016 - Winner","Harriet Harman","07/01/2015 17:15:04",44,1000
"London Mayoral Election 2016 - Winner","James Purnell","06/01/2015 17:16:48",6.4,1000
"London Mayoral Election 2016 - Winner","James Purnell","06/01/2015 17:20:36",6.4,1000
"London Mayoral Election 2016 - Winner","James Purnell","07/01/2015 17:15:04",6.4,1000
"London Mayoral Election 2016 - Winner","Jon Cruddas","06/01/2015 17:16:48",85,1000
"London Mayoral Election 2016 - Winner","Jon Cruddas","06/01/2015 17:20:36",85,1000
"London Mayoral Election 2016 - Winner","Jon Cruddas","07/01/2015 17:15:04",85,1000
"London Mayoral Election 2016 - Winner","Karren Brady","06/01/2015 17:16:48",15.5,1000
"London Mayoral Election 2016 - Winner","Karren Brady","06/01/2015 17:20:36",15.5,1000
"London Mayoral Election 2016 - Winner","Karren Brady","07/01/2015 17:15:04",15.5,1000
"London Mayoral Election 2016 - Winner","Ken Livingstone","06/01/2015 17:16:48",22,100
"London Mayoral Election 2016 - Winner","Ken Livingstone","06/01/2015 17:20:36",22,100
"London Mayoral Election 2016 - Winner","Ken Livingstone","07/01/2015 17:15:04",22,100
"London Mayoral Election 2016 - Winner","Kit Malthouse","06/01/2015 17:16:48",14,1000
"London Mayoral Election 2016 - Winner","Kit Malthouse","06/01/2015 17:20:36",14,1000
"London Mayoral Election 2016 - Winner","Kit Malthouse","07/01/2015 17:15:04",14,1000
"London Mayoral Election 2016 - Winner","Oona King","06/01/2015 17:16:48",85,1000
"London Mayoral Election 2016 - Winner","Oona King","06/01/2015 17:20:36",85,1000
"London Mayoral Election 2016 - Winner","Oona King","07/01/2015 17:15:04",85,1000
"London Mayoral Election 2016 - Winner","Sadiq Khan","06/01/2015 17:16:48",5.2,9
"London Mayoral Election 2016 - Winner","Sadiq Khan","06/01/2015 17:20:36",5.2,9
"London Mayoral Election 2016 - Winner","Sadiq Khan","07/01/2015 17:15:04",5.2,9
"London Mayoral Election 2016 - Winner","Sebastian Coe","06/01/2015 17:16:48",9.6,15.5
"London Mayoral Election 2016 - Winner","Sebastian Coe","06/01/2015 17:20:36",9.6,15.5
"London Mayoral Election 2016 - Winner","Sebastian Coe","07/01/2015 17:15:04",9.6,16
"London Mayoral Election 2016 - Winner","Shaun Bailey","06/01/2015 17:16:48",4,1000
"London Mayoral Election 2016 - Winner","Shaun Bailey","06/01/2015 17:20:36",4,1000
"London Mayoral Election 2016 - Winner","Shaun Bailey","07/01/2015 17:15:04",4,1000
"London Mayoral Election 2016 - Winner","Siobhan Benita","06/01/2015 17:16:48",18,1000
"London Mayoral Election 2016 - Winner","Siobhan Benita","06/01/2015 17:20:36",18,1000
"London Mayoral Election 2016 - Winner","Siobhan Benita","07/01/2015 17:15:04",18,1000
"London Mayoral Election 2016 - Winner","Tessa Jowell","06/01/2015 17:16:48",2.56,1000
"London Mayoral Election 2016 - Winner","Tessa Jowell","06/01/2015 17:20:36",2.56,1000
"London Mayoral Election 2016 - Winner","Tessa Jowell","07/01/2015 17:15:04",2.56,1000
"London Mayoral Election 2016 - Winner","Zac Goldsmith","06/01/2015 17:16:48",34,1000
"London Mayoral Election 2016 - Winner","Zac Goldsmith","06/01/2015 17:20:36",34,1000
"London Mayoral Election 2016 - Winner","Zac Goldsmith","07/01/2015 17:15:04",34,1000
"Manchester Withington - Winner","Conservative","06/01/2015 17:15:54",3.15,NA
"Manchester Withington - Winner","Conservative","06/01/2015 17:20:14",3.15,NA
"Manchester Withington - Winner","Conservative","07/01/2015 17:14:42",4.5,NA
"Manchester Withington - Winner","Green","06/01/2015 17:15:54",3.15,NA
"Manchester Withington - Winner","Green","06/01/2015 17:20:14",3.15,NA
"Manchester Withington - Winner","Green","07/01/2015 17:14:42",4.5,NA
"Manchester Withington - Winner","Labour","06/01/2015 17:15:54",1.01,2.22
"Manchester Withington - Winner","Labour","06/01/2015 17:20:14",1.01,2.22
"Manchester Withington - Winner","Labour","07/01/2015 17:14:42",NA,1.45
"Manchester Withington - Winner","Liberal Democrat","06/01/2015 17:15:54",2.5,25
"Manchester Withington - Winner","Liberal Democrat","06/01/2015 17:20:14",2.5,25
"Manchester Withington - Winner","Liberal Democrat","07/01/2015 17:14:42",3.5,25
"Manchester Withington - Winner","UKIP","06/01/2015 17:15:54",3.15,NA
"Manchester Withington - Winner","UKIP","06/01/2015 17:20:14",3.15,NA
"Manchester Withington - Winner","UKIP","07/01/2015 17:14:42",4.5,NA
"Mid Dorset and North Poole - Winner","Conservative","06/01/2015 17:15:54",1.02,3.5
"Mid Dorset and North Poole - Winner","Conservative","06/01/2015 17:20:15",1.02,3.5
"Mid Dorset and North Poole - Winner","Conservative","07/01/2015 17:14:42",1.01,1.86
"Mid Dorset and North Poole - Winner","Labour","06/01/2015 17:15:54",3.15,NA
"Mid Dorset and North Poole - Winner","Labour","06/01/2015 17:20:15",3.15,NA
"Mid Dorset and North Poole - Winner","Labour","07/01/2015 17:14:42",4.5,NA
"Mid Dorset and North Poole - Winner","Liberal Democrat","06/01/2015 17:15:54",2.02,NA
"Mid Dorset and North Poole - Winner","Liberal Democrat","06/01/2015 17:20:15",2.02,NA
"Mid Dorset and North Poole - Winner","Liberal Democrat","07/01/2015 17:14:42",2.02,NA
"Mid Dorset and North Poole - Winner","UKIP","06/01/2015 17:15:54",4.5,250
"Mid Dorset and North Poole - Winner","UKIP","06/01/2015 17:20:15",4.5,250
"Mid Dorset and North Poole - Winner","UKIP","07/01/2015 17:14:42",4.5,250
"Next Party Leaders - Next Conservative Leader","Adam Afriyie","06/01/2015 17:16:49",34,1000
"Next Party Leaders - Next Conservative Leader","Adam Afriyie","06/01/2015 17:20:36",34,1000
"Next Party Leaders - Next Conservative Leader","Adam Afriyie","07/01/2015 17:15:04",34,1000
"Next Party Leaders - Next Conservative Leader","Alan Duncan","06/01/2015 17:16:49",75,1000
"Next Party Leaders - Next Conservative Leader","Alan Duncan","06/01/2015 17:20:36",75,1000
"Next Party Leaders - Next Conservative Leader","Alan Duncan","07/01/2015 17:15:04",75,1000
