Name;MP;Region;County Area;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Rutherglen and Hamilton West;Tom Greatrex;2;Ayrshire and Lanark;76408;4540;28566;5636;7564;0;675
Stirling;Anne McGuire;1;Central;66080;11254;19558;6797;8091;0;1141
Antrim East;Sammy Wilson;3;Antrim;60204;7223;2019;13993;2064;3377;1826
Antrim North;Ian Paisley Jr;3;Antrim;73338;4634;3738;19672;5265;7114;1974
Antrim South;Rev William McCrea;3;Antrim;63054;10353;2955;11536;4729;2607;1829
Belfast East;Naomi Long;3;Antrim;59007;7305;365;11306;817;12839;1856
Belfast North;Nigel Dodds;3;Antrim;65504;2837;4544;14812;12588;1809;403
Belfast South;Dr Alasdair McDonnell;3;Antrim;59524;5910;14026;8100;0;5114;1036
Belfast West;Gerry Adams;3;Antrim;59522;1000;5261;2436;22840;596;0
Down North;Lady Sylvia Hermon;3;Down;60698;6817;680;0;250;21181;4553
Down South;Margaret Ritchie;3;Down;70784;3093;20648;3645;12236;1506;1461
Fermanagh and South Tyrone;Michelle Gildernew;3;Fermanagh;67908;0;3574;0;21304;21300;625
Foyle;Mark Durkan;3;Londonderry;65843;1221;16922;4489;12098;2936;223
Lagan Valley;Jeffrey Donaldson;3;Antrim;65257;7713;1835;18199;1465;4174;3154
Londonderry East;Gregory Campbell;3;Londonderry;63220;6218;5399;12097;6742;2572;1922
Newry and Armagh;Conor Murphy;3;Armagh;74308;8558;10526;5764;18857;545;656
Strangford;Jim Shannon;3;Down;60539;9050;2164;14926;1161;2828;2376
Tyrone West;Pat Doherty;3;Tyrone;61148;5281;5212;7365;18050;859;508
Ulster Mid;Martin McGuinness;3;Tyrone;64594;4509;5826;5876;21239;2995;397
Upper Bann;Thomas Simpson;3;Armagh;74732;10639;5276;14000;10237;1231;0
